name,batch,customer,vertical,buyer,job,budget,model,pricing,ai_role,scope,regulated,physical,sells_to_ai_builders,labor_replaced,wedge_to_platform
hiloop,S26,enterprise,ai-infra,head of ai,autoresearch to improve agents and models,labor,ai-native-service,unk,core,horizontal,n,n,y,ML engineer,y
Robocurve,S26,enterprise,robotics,head of robotics research,independent robot model benchmarking,new,other,unk,core,narrow,n,y,y,none,n
Salem Robotics Inc,S26,enterprise,energy,facility safety manager,hazardous site surveys and inspections,labor,hardware-robotics,unk,core,narrow,y,y,n,radiation survey technician,y
Allia Health,S26,mixed,healthcare-provider,practice owner,mental health medical group operations,labor,ai-native-service,unk,core,vertical-suite,y,n,n,clinic admin staff,y
Osseus,S26,enterprise,ai-infra,research lead at ai lab,"clinical datasets, evals, RL environments",new,other,unk,core,narrow,y,n,y,none,y
hardware intelligence,S26,enterprise,semiconductors,vp chip design,chip simulation waveform capture and debugging,software,saas,unk,core,narrow,n,n,n,verification engineer,n
Billow AI Labs,S26,midmarket,accounting,controller,accounting and FP&A work,labor,ai-native-service,unk,core,vertical-suite,y,n,n,accountant,n
Atomarine,S26,enterprise,data-centers,unk,floating nuclear-powered data centers,new,hardware-robotics,unk,none,narrow,y,y,n,none,n
Magma,S26,developer,ai-infra,ceo,monetizing agent traces,new,marketplace,unk,core,narrow,n,n,y,none,n
Caution,S26,developer,security,vp eng,confidential compute hosting with attestation,software,infra-api,unk,none,horizontal,n,n,n,none,n
CoArena,S26,enterprise,ai-infra,research lead at ai lab,crowdsourced computer-use agent benchmark,new,other,unk,core,narrow,n,n,y,none,n
Edviro,S26,enterprise,energy,facilities director,operating energy equipment and maintenance,labor,saas,unk,core,vertical-suite,n,y,n,facility engineer,n
Experiential Labs,S26,enterprise,ai-infra,head of ai,AI gateway turning traffic into owned models,software,infra-api,unk,core,horizontal,n,n,y,none,n
Conifer,S26,enterprise,ai-infra,vp eng,least-cost LLM routing,software,infra-api,unk,core,horizontal,n,n,n,none,n
OpenTag,S26,mixed,horizontal,unk,Slack AI coworker and wiki upkeep,new,saas,unk,core,horizontal,n,n,n,none,n
